week,player_id,goals
GW_1,WSL_0001,2
GW_1,WSL_0002,1
GW_1,WSL_0003,1
GW_1,WSL_0007,2
GW_1,WSL_0008,1
GW_1,WSL_0009,1
GW_1,WSL_0010,1

GW_1,WSL_0011,2
GW_1,WSL_0012,2
GW_1,WSL_0015,2
GW_1,WSL_0016,1
GW_1,WSL_0017,1
GW_1,WSL_0018,2
GW_1,WSL_0019,1
GW_1,WSL_0020,1

GW_1,WSL_0021,1
GW_1,WSL_0022,1
GW_1,WSL_0023,2
GW_1,WSL_0024,1
GW_1,WSL_0025,1
GW_1,WSL_0026,2
GW_1,WSL_0027,1
GW_1,WSL_0028,1
GW_1,WSL_0029,2
GW_1,WSL_0030,1

GW_1,WSL_0031,1
GW_1,WSL_0032,2

GW_1,WSL_0039,1
GW_1,WSL_0040,1

GW_1,WSL_0041,2

GW_1,WSL_0048,1
GW_1,WSL_0049,1
GW_1,WSL_0050,2

GW_1,WSL_0051,1

GW_1,WSL_0058,1
GW_1,WSL_0059,1
GW_1,WSL_0060,2

GW_1,WSL_0061,1
GW_1,WSL_0062,2
